cliente_id,meses_como_cliente,compras_12m,dias_desde_ultima_compra,gasto_total_12m,ticket_medio,categoria_preferida,canal_preferido,pct_compras_com_cupom,abriu_email_mkt_pct,visitas_site_mes,chamados_suporte_12m,devolucoes_12m
C00192,17,2,205,80,126,mercado,app,0.123,0.0,3,7,5
C00193,44,7,24,10980,396,moda,app,0.175,0.727,17,0,1
C00194,40,19,14,6150,484,casa,site,0.083,0.45,14,3,0
C00195,43,2,128,370,105,beleza,site,0.303,0.079,3,6,6
C00196,4,5,94,1010,152,eletronicos,loja,0.362,0.114,4,1,0
C00197,25,16,2,2850,113,beleza,site,0.711,0.293,13,4,3
C00198,29,20,60,2280,103,beleza,site,0.692,0.512,12,1,6
C00199,28,9,23,2290,97,mercado,app,0.517,0.28,5,2,5
C00200,43,22,30,6020,274,casa,site,0.083,0.457,22,2,1
C00201,23,17,2,2120,76,mercado,app,0.823,0.369,11,2,2
C00202,31,17,18,2930,119,moda,app,0.533,0.245,10,1,2
C00203,53,25,14,5810,125,mercado,site,0.0,0.572,20,3,0
C00204,26,17,15,3270,70,beleza,app,0.918,0.219,8,1,2
C00205,35,10,32,1320,121,beleza,site,0.696,0.488,17,2,4
C00206,14,1,279,890,150,casa,site,0.222,0.149,1,8,2
C00207,63,11,4,7770,410,casa,app,0.056,0.623,16,2,1
C00208,34,4,208,390,220,mercado,site,0.559,0.105,0,8,3
C00209,4,1,44,440,246,casa,app,0.16,0.211,3,0,0
C00210,45,18,28,2500,77,mercado,app,0.769,0.489,10,3,5
C00211,47,1,217,580,243,mercado,site,0.688,0.011,2,8,5
C00212,1,1,77,790,168,moda,loja,0.238,0.101,2,1,0
C00213,20,11,5,1690,63,beleza,app,0.99,0.224,8,2,1
C00214,43,7,21,6930,623,casa,site,0.081,0.542,10,0,1
C00215,38,14,15,4720,390,mercado,site,0.029,0.61,9,0,2
C00216,51,14,32,2400,63,moda,app,0.652,0.306,5,3,1
C00217,58,19,23,5370,324,moda,site,0.0,0.461,22,0,2
C00218,10,24,12,3730,30,casa,app,0.624,0.349,9,3,3
C00219,25,3,121,600,139,mercado,loja,0.27,0.035,2,9,4
C00220,45,17,23,9100,364,eletronicos,site,0.108,0.695,7,0,1
C00221,60,26,2,6810,230,eletronicos,loja,0.0,0.372,23,0,1
C00222,5,2,104,640,263,moda,site,0.301,0.164,0,2,0
C00223,54,12,29,5500,396,eletronicos,loja,0.141,0.469,17,1,1
C00224,67,27,12,7770,336,eletronicos,app,0.088,0.656,12,2,2
C00225,47,0,159,1420,56,beleza,site,0.824,0.013,2,2,2
C00226,3,1,47,740,100,eletronicos,app,0.298,0.152,6,2,0
C00227,47,14,13,7740,120,casa,app,0.242,0.721,10,0,1
C00228,23,18,42,3250,101,casa,loja,0.641,0.406,18,1,5
C00229,32,18,24,1400,92,mercado,site,0.528,0.238,13,0,2
C00230,50,15,19,8130,209,casa,app,0.132,0.719,6,2,1
C00231,23,5,175,1010,40,eletronicos,loja,0.546,0.175,2,6,8
C00232,9,4,57,60,127,beleza,app,0.133,0.131,5,0,0
C00233,1,2,66,620,157,moda,site,0.2,0.092,2,1,0
C00234,49,13,21,6600,324,casa,site,0.116,0.498,2,2,3
C00235,43,17,24,4890,236,mercado,app,0.0,0.319,24,1,0
C00236,58,23,12,2310,481,eletronicos,site,0.109,0.453,18,1,1
C00237,39,5,108,860,174,moda,site,0.394,0.164,0,5,5
C00238,54,16,18,7610,306,eletronicos,app,0.032,0.673,5,1,0
C00239,8,19,40,2130,103,eletronicos,site,0.564,0.282,9,4,5
C00240,3,5,5,400,40,beleza,site,0.392,0.105,2,0,0
C00241,21,25,14,7500,270,eletronicos,app,0.0,0.322,20,2,1
C00242,3,6,45,270,40,casa,site,0.282,0.18,1,0,0
C00243,61,1,179,930,199,eletronicos,loja,0.357,0.043,2,8,5
C00244,17,11,16,1630,90,mercado,app,0.582,0.365,4,2,3
C00245,39,2,220,930,106,beleza,loja,0.468,0.088,2,4,1
C00246,8,1,47,400,218,moda,app,0.146,0.081,4,2,1
C00247,3,5,41,130,228,moda,app,0.585,0.3,2,1,0
C00248,7,1,81,490,310,beleza,loja,0.258,0.161,1,0,0
C00249,5,3,37,780,248,beleza,loja,0.385,0.191,4,0,0
C00250,28,12,52,2360,138,eletronicos,app,0.923,0.567,16,2,0
C00251,51,19,16,6150,178,moda,site,0.076,0.496,4,1,1
C00252,13,19,28,1770,86,beleza,app,0.86,0.398,11,4,2
C00253,16,13,35,3080,91,beleza,app,0.789,0.392,8,1,5
C00254,41,26,23,3180,339,casa,site,0.086,0.712,16,0,1
C00255,33,22,30,7510,185,moda,site,0.124,0.359,29,2,1
C00256,27,17,61,840,121,moda,app,0.826,0.345,9,2,2
C00257,30,17,7,6780,259,eletronicos,app,0.105,0.773,20,2,1
C00258,4,2,15,270,212,beleza,site,0.192,0.091,1,1,0
C00259,20,19,50,920,62,mercado,app,0.347,0.464,2,3,4
C00260,25,16,45,1590,119,moda,app,0.514,0.451,7,3,0
C00261,26,20,39,2550,108,beleza,app,0.853,0.151,14,2,3
C00262,7,5,86,250,57,eletronicos,loja,0.0,0.142,5,0,0
C00263,28,18,7,1760,119,mercado,app,0.771,0.24,7,2,0
C00264,74,9,1,3930,120,eletronicos,site,0.039,0.509,14,1,0
C00265,6,4,12,700,353,casa,site,0.337,0.119,4,2,1
C00266,32,23,1,9900,343,eletronicos,app,0.086,0.455,11,3,1
C00267,16,14,18,3430,93,mercado,app,0.648,0.354,16,1,2
C00268,24,23,23,3520,30,beleza,app,0.697,0.353,7,3,3
C00269,23,14,58,1760,137,mercado,app,0.713,0.23,4,3,3
C00270,84,12,26,9980,398,casa,loja,0.032,0.537,18,0,0
C00271,41,1,150,1270,131,eletronicos,loja,0.594,0.046,1,6,4
C00272,4,3,76,420,249,casa,loja,0.232,0.12,3,0,1
C00273,47,23,21,6200,491,mercado,site,0.0,0.676,21,1,1
C00274,45,26,25,8360,453,beleza,site,0.049,0.699,11,1,0
C00275,68,17,17,11390,249,moda,site,0.083,0.546,22,0,1
C00276,4,4,54,590,153,eletronicos,site,0.411,0.071,4,2,0
C00277,4,3,75,400,137,moda,app,0.453,0.125,0,1,0
C00278,39,3,197,770,243,eletronicos,app,0.116,0.167,2,7,7
C00279,20,16,25,1850,126,beleza,loja,0.508,0.332,9,0,1
C00280,1,2,38,190,227,casa,loja,0.141,0.073,4,0,0
C00281,21,6,42,3200,110,mercado,app,0.928,0.361,2,2,1
C00282,9,22,4,2640,30,mercado,loja,0.772,0.466,4,3,1
C00283,5,3,31,320,128,beleza,site,0.09,0.173,6,1,1
C00284,16,13,16,1800,98,moda,app,0.627,0.306,11,2,4
C00285,2,1,89,80,250,casa,app,0.456,0.102,5,2,0
C00286,55,18,16,12150,368,eletronicos,site,0.22,0.482,24,1,1
C00287,4,4,26,260,40,moda,site,0.27,0.212,5,1,1
C00288,5,2,61,570,307,eletronicos,app,0.069,0.195,6,1,1
C00289,62,23,32,5190,275,eletronicos,site,0.103,0.515,10,0,0
C00290,33,2,179,1360,124,moda,loja,0.507,0.085,1,4,4
C00291,3,1,57,250,41,moda,site,0.013,0.094,2,0,0
C00292,41,11,1,9800,297,moda,app,0.164,0.518,26,0,2
C00293,55,15,23,4430,548,mercado,site,0.026,0.466,24,2,0
C00294,76,7,18,10370,372,mercado,site,0.125,0.682,5,1,1
C00295,21,25,6,6750,301,mercado,app,0.195,0.619,12,2,1
C00296,41,17,44,2690,61,mercado,app,0.826,0.553,16,3,4
C00297,50,10,22,2450,363,casa,app,0.078,0.94,17,0,1
C00298,46,6,70,910,137,casa,loja,0.495,0.033,3,3,5
C00299,2,3,5,500,104,mercado,app,0.28,0.356,3,0,0
C00300,59,14,1,6950,518,casa,site,0.055,0.669,4,2,1
C00301,10,25,39,2990,101,casa,loja,0.731,0.338,14,5,0
C00302,41,14,17,3240,118,casa,app,0.492,0.529,13,4,5
C00303,53,2,201,1400,119,mercado,app,0.511,0.064,3,4,4
C00304,3,5,16,450,288,moda,loja,0.222,0.21,2,0,1
C00305,7,2,5,180,155,casa,loja,0.441,0.044,5,2,0
C00306,4,1,10,330,249,eletronicos,site,0.01,0.188,4,0,1
C00307,5,1,65,220,93,casa,site,0.285,0.206,4,1,0
C00308,21,14,23,2130,90,moda,app,0.707,0.421,6,2,2
C00309,38,8,2,1330,112,beleza,app,0.722,0.394,9,3,3
C00310,22,10,30,3070,122,casa,app,0.738,0.206,14,4,2
C00311,28,26,36,5820,392,eletronicos,loja,0.0,0.755,19,1,1
C00312,41,21,12,3630,331,beleza,app,0.047,0.247,11,1,0
C00313,35,2,146,810,160,moda,app,0.628,0.006,2,9,6
C00314,3,2,12,150,64,eletronicos,site,0.311,0.267,1,0,0
C00315,36,2,99,440,115,eletronicos,app,0.323,0.081,1,6,4
C00316,1,1,64,400,211,moda,app,0.094,0.124,1,0,2
C00317,8,5,92,200,237,eletronicos,loja,0.252,0.049,3,0,0
C00318,5,1,48,240,120,mercado,loja,0.222,0.195,3,0,0
C00319,6,2,138,460,218,mercado,app,0.037,0.076,4,0,1
C00320,72,15,1,9760,360,mercado,site,0.0,0.674,12,1,0
C00321,7,5,29,560,122,beleza,site,0.172,0.078,4,0,1
C00322,25,26,35,2550,153,moda,app,0.829,0.375,2,3,3
C00323,41,20,51,2290,91,beleza,app,0.715,0.51,18,4,2
C00324,42,16,3,3890,136,beleza,app,0.676,0.23,10,1,2
C00325,41,23,19,7940,128,casa,site,0.067,0.601,15,3,1
C00326,40,28,16,5880,355,casa,site,0.121,0.661,23,1,1
C00327,25,1,104,350,115,beleza,site,0.332,0.018,0,7,6
C00328,27,19,23,5750,500,eletronicos,app,0.187,0.547,7,0,1
C00329,47,23,25,8710,348,eletronicos,loja,0.096,0.538,16,1,0
C00330,4,3,87,90,140,casa,loja,0.321,0.225,4,1,1
C00331,45,21,32,1110,76,moda,site,0.754,0.419,23,2,4
C00332,51,17,25,10340,372,moda,site,0.173,0.312,20,1,0
C00333,15,14,41,2010,74,mercado,site,0.481,0.262,3,1,4
C00334,5,4,81,250,236,moda,app,0.6,0.033,1,0,0
C00335,67,3,201,1690,71,eletronicos,loja,0.289,0.127,3,5,4
C00336,21,4,5,1200,39,beleza,app,0.69,0.38,21,0,5
C00337,3,3,27,110,40,mercado,site,0.0,0.157,4,1,0
C00338,25,1,236,410,147,mercado,loja,0.21,0.112,3,5,3
C00339,8,3,56,490,168,beleza,site,0.202,0.32,0,0,1
C00340,3,5,56,500,316,casa,app,0.103,0.101,0,0,1
C00341,16,12,2,2250,34,moda,app,0.645,0.538,9,3,1
C00342,41,4,235,950,132,eletronicos,site,0.415,0.0,1,5,6
C00343,39,3,180,620,239,moda,site,0.352,0.053,4,8,7
C00344,41,5,25,1240,180,beleza,site,0.99,0.219,7,6,1
C00345,75,9,34,7650,348,eletronicos,site,0.064,0.594,12,1,1
C00346,50,3,111,1790,221,mercado,site,0.39,0.139,1,5,2
C00347,44,23,45,7700,400,moda,site,0.14,0.554,17,1,0
C00348,27,20,26,400,131,moda,app,0.864,0.403,10,0,6
C00349,57,24,1,7840,207,beleza,app,0.062,0.762,14,2,1
C00350,48,15,21,3440,616,casa,site,0.109,0.95,15,2,0
C00351,52,20,20,10350,292,eletronicos,loja,0.11,0.519,21,0,0
C00352,38,1,236,690,153,eletronicos,site,0.305,0.022,1,4,6
C00353,6,11,54,1730,89,mercado,app,0.555,0.319,11,1,1
C00354,28,12,44,1760,108,beleza,app,0.827,0.308,5,2,3
C00355,60,12,25,8830,188,eletronicos,loja,0.09,0.239,13,0,0
C00356,13,12,21,1370,70,mercado,app,0.796,0.14,10,4,5
C00357,51,22,24,4890,210,beleza,site,0.174,0.514,27,1,1
C00358,30,1,182,630,235,mercado,app,0.173,0.053,1,7,2
C00359,28,2,212,1040,120,mercado,site,0.612,0.149,3,3,4
C00360,58,15,17,2470,103,moda,app,0.934,0.293,8,2,4
C00361,7,3,97,490,131,eletronicos,loja,0.127,0.124,1,0,0
C00362,39,4,133,400,112,casa,site,0.785,0.144,2,5,3
C00363,3,3,92,80,124,casa,site,0.318,0.07,3,1,1
C00364,5,2,22,370,62,casa,app,0.294,0.123,3,0,1
C00365,9,15,16,2410,81,beleza,app,0.428,0.378,13,1,2
C00366,61,18,7,7370,156,mercado,site,0.093,0.597,16,1,0
C00367,51,3,130,520,204,mercado,loja,0.643,0.0,4,5,7
C00368,5,6,40,710,222,mercado,site,0.0,0.151,1,0,0
C00369,52,23,31,7920,309,eletronicos,site,0.05,0.476,18,2,1
C00370,48,18,35,8790,357,eletronicos,app,0.118,0.524,13,2,0
C00371,41,15,29,8480,364,mercado,site,0.12,0.582,12,1,1
C00372,37,7,20,12150,212,eletronicos,app,0.095,0.563,15,0,1
C00373,34,22,20,1320,83,beleza,app,0.781,0.364,5,2,1
C00374,49,23,11,6560,209,casa,site,0.013,0.641,18,1,1
C00375,60,21,28,8180,247,eletronicos,loja,0.093,0.687,22,2,1
C00376,33,18,18,6040,164,eletronicos,site,0.082,0.665,23,1,1
C00377,5,2,72,160,211,casa,loja,0.298,0.143,3,1,2
C00378,37,20,20,9890,239,eletronicos,app,0.038,0.582,17,0,1
C00379,14,14,19,1120,55,mercado,app,0.68,0.357,9,0,2
C00380,39,15,38,1690,318,eletronicos,loja,0.079,0.803,12,0,1
C00381,32,20,41,3630,317,eletronicos,app,0.014,0.753,19,2,1
C00382,33,20,25,1140,30,eletronicos,app,0.797,0.123,17,4,3
C00383,34,18,2,2590,33,casa,app,0.583,0.503,8,4,5
C00384,10,1,9,500,173,mercado,site,0.174,0.169,1,0,1
C00385,33,18,24,7450,459,eletronicos,site,0.043,0.4,18,1,0
C00386,28,24,47,2690,66,moda,app,0.612,0.223,12,2,3
C00387,6,2,51,310,210,beleza,site,0.01,0.142,3,0,1
C00388,52,8,37,1330,95,mercado,site,0.744,0.385,8,4,0
C00389,3,19,4,3500,151,casa,loja,0.79,0.337,2,1,0
C00390,6,5,43,60,116,beleza,app,0.228,0.174,0,2,0
C00391,7,1,114,480,252,mercado,site,0.24,0.107,6,0,0
C00392,5,1,28,370,206,beleza,site,0.3,0.185,0,0,0
C00393,23,16,61,1960,80,moda,app,0.946,0.374,12,5,2
C00394,2,4,7,370,94,moda,app,0.299,0.112,3,1,1
C00395,44,22,33,2520,122,beleza,app,0.703,0.446,18,3,3
